id	symbols	category	source	source_lines	english	zh	status	note
2500	IDS_MISSION_00_NAME	mission	CRES.DLL	to2:180	CHAPTER 1. Cate Archer Must Die!	第1章：凯特·阿彻必须死！	done	
2501	IDS_MISSION_01_NAME	mission	CRES.DLL	to2:181	CHAPTER 2. Goodbye, Spy	第2章：再见了，间谍		
2502	IDS_MISSION_02_NAME	mission	CRES.DLL	to2:182	CHAPTER 3. Project: Omega	第3章：欧米伽计划		
2503	IDS_MISSION_03_NAME	mission	CRES.DLL	to2:183	CHAPTER 4. A Spy in H.A.R.M.'s Way	第4章：挡在H.A.R.M.路上的间谍		
2504	IDS_MISSION_04_NAME	mission	CRES.DLL	to2:184	CHAPTER 5. Night Flight	第5章：夜间飞行		
2505	IDS_MISSION_05_NAME	mission	CRES.DLL	to2:185	CHAPTER 6. Diary of a Double Agent	第6章：双面间谍日记		
2506	IDS_MISSION_06_NAME	mission	CRES.DLL	to2:186	CHAPTER 7. Double Cross	第7章：反间计		
2507	IDS_MISSION_07_NAME	mission	CRES.DLL	to2:187	CHAPTER 8. The Art of Murder	第8章：谋杀的艺术		
2508	IDS_MISSION_08_NAME	mission	CRES.DLL	to2:188	CHAPTER 9. Ice Station Evil	第9章：邪恶冰站		
2509	IDS_MISSION_09_NAME	mission	CRES.DLL	to2:189	CHAPTER 10. The Curse of Kali	第10章：迦梨的诅咒		
2510	IDS_MISSION_10_NAME;IDS_MISSION_09_NAME2	mission	CRES.DLL	to2:190	CHAPTER 11. The Interlopers	第11章：不速之客		
2511	IDS_MISSION_11_NAME;IDS_MISSION_09_NAME3	mission	CRES.DLL	to2:191	CHAPTER 12. Undersea	第12章：深海之下		
2512	IDS_MISSION_12_NAME;IDS_MISSION_09_NAME4	mission	CRES.DLL	to2:4289	CHAPTER 13. Terror in the Deep	第13章：深海惊魂		
2513	IDS_MISSION_13_NAME;IDS_MISSION_09_NAME5	mission	CRES.DLL	to2:4290	CHAPTER 14. Endgame	第14章：终局		
2514	IDS_MISSION_14_NAME;IDS_MISSION_09_NAME6	mission	CRES.DLL	to2:4291	CHAPTER 15. Preemptive strike	第15章：先发制人		
2515	IDS_MISSION_15_NAME;IDS_MISSION_09_NAME7	mission	CRES.DLL	to2:4292	<Mission Name>			
2516	IDS_MISSION_16_NAME;IDS_MISSION_09_NAME8	mission	CRES.DLL	to2:4293	CHAPTER I. The Rescue	第I章：营救行动		
2517	IDS_MISSION_17_NAME;IDS_MISSION_09_NAME9	mission	CRES.DLL	to2:4294	CHAPTER II. The Super Computer	第II章：超级计算机		
2518	IDS_MISSION_18_NAME;IDS_MISSION_09_NAME10	mission	CRES.DLL	to2:4295	CHAPTER III. The Set Up	第III章：圈套		
2519	IDS_MISSION_19_NAME;IDS_MISSION_09_NAME11	mission	CRES.DLL	to2:4296	CHAPTER IV. Sweep and Clear	第IV章：肃清行动		
2520	IDS_MISSION_20_NAME;IDS_MISSION_09_NAME12	mission	CRES.DLL	to2:4297	CHAPTER V. Mime to Kill	第V章：杀人哑剧		
2521	IDS_MISSION_21_NAME;IDS_MISSION_09_NAME13	mission	CRES.DLL	to2:4298	Demo.	演示。		
2522	IDS_MISSION_22_NAME;IDS_MISSION_09_NAME14	mission	CRES.DLL	to2:4299	Demo.	演示。		
2523	IDS_MISSION_23_NAME;IDS_MISSION_09_NAME15	mission	CRES.DLL	to2:4300	Demo.	演示。		
2524	IDS_MISSION_24_NAME;IDS_MISSION_09_NAME16	mission	CRES.DLL	to2:4301	TEST TEST TEST TEST	测试 测试 测试 测试		
2525	IDS_MISSION_25_NAME;IDS_MISSION_09_NAME17	mission	CRES.DLL	to2:4302	Technology Showcase	技术展示		
2526	IDS_MISSION_26_NAME;IDS_MISSION_00_DEMONAME	mission	CRES.DLL	to2:4303	Cate Archer Must Die!	凯特·阿彻必须死！		
2550	IDS_MISSION_00_LEVEL_00_NAME	mission	CRES.DLL	to2:197	The Director.	局长。		
2551	IDS_MISSION_00_LEVEL_00_NAME2	mission	CRES.DLL	to2:198	Call it a hunch.	就当是直觉吧。	done	
2552	IDS_MISSION_00_LEVEL_00_NAME3	mission	CRES.DLL	to2:199	I have bad news.	我有个坏消息。		
2553	IDS_MISSION_00_LEVEL_00_NAME4	mission	CRES.DLL	to2:200	The spy is here!	那个间谍来了！		
2554	IDS_MISSION_00_LEVEL_00_NAME5	mission	CRES.DLL	to2:201	Hunted.	遭到追杀。		
2555	IDS_MISSION_00_LEVEL_00_NAME6	mission	CRES.DLL	to2:202	The death of Cate Archer.	凯特·阿彻之死。		
2556	IDS_MISSION_00_LEVEL_00_NAME7	mission	CRES.DLL	to2:203	The specter of war.	战争阴影。		
2557	IDS_MISSION_00_LEVEL_00_NAME8	mission	CRES.DLL	to2:204	Welcome to Siberia.	欢迎来到西伯利亚。		
2558	IDS_MISSION_00_LEVEL_00_NAME9	mission	CRES.DLL	to2:205	The power station.	发电站。		
2559	IDS_MISSION_00_LEVEL_00_NAME10	mission	CRES.DLL	to2:206	The communications tower.	通信塔。		
2560	IDS_MISSION_00_LEVEL_00_NAME11	mission	CRES.DLL	to2:4371	Causing trouble.	制造麻烦。		
2561	IDS_MISSION_00_LEVEL_00_NAME12	mission	CRES.DLL	to2:4372	Outer yard.	外院。		
2562	IDS_MISSION_00_LEVEL_00_NAME13	mission	CRES.DLL	to2:4373	The old records building.	旧档案大楼。		
2563	IDS_MISSION_00_LEVEL_00_NAME14	mission	CRES.DLL	to2:4374	Inner yard.	内院。		
2564	IDS_MISSION_00_LEVEL_00_NAME15	mission	CRES.DLL	to2:4375	The basement.	地下室。		
2565	IDS_MISSION_00_LEVEL_00_NAME16	mission	CRES.DLL	to2:4376	Main records building.	主档案大楼。		
2566	IDS_MISSION_00_LEVEL_00_NAME17	mission	CRES.DLL	to2:4377	The basement.	地下室。		
2567	IDS_MISSION_00_LEVEL_00_NAME18	mission	CRES.DLL	to2:4378	Inner yard.	内院。		
2568	IDS_MISSION_00_LEVEL_00_NAME19	mission	CRES.DLL	to2:4379	Outer yard.	外院。		
2569	IDS_MISSION_00_LEVEL_00_NAME20	mission	CRES.DLL	to2:4380	Exfiltration.	撤离。		
2570	IDS_MISSION_00_LEVEL_00_NAME21	mission	CRES.DLL	to2:4381	Surprise, surprise.	真是意外啊。		
2571	IDS_MISSION_00_LEVEL_00_NAME22	mission	CRES.DLL	to2:4382	Grasping at straws.	垂死挣扎。		
2572	IDS_MISSION_00_LEVEL_00_NAME23	mission	CRES.DLL	to2:4383	The house where Melvin used to live.	梅尔文以前住过的房子。		
2573	IDS_MISSION_00_LEVEL_00_NAME24	mission	CRES.DLL	to2:4384	Storm rolling in.	暴风雨即将来临。		
2574	IDS_MISSION_00_LEVEL_00_NAME25	mission	CRES.DLL	to2:4385	Tornado trouble.	龙卷风之灾。		
2575	IDS_MISSION_00_LEVEL_00_NAME26	mission	CRES.DLL	to2:4386	Carried away.	被卷走。		
2576	IDS_MISSION_00_LEVEL_00_NAME27	mission	CRES.DLL	to2:4417	After the storm.	暴风雨过后。		
2577	IDS_MISSION_00_LEVEL_00_NAME28	mission	CRES.DLL	to2:4418	Knife in the back.	背后一刀。		
2578	IDS_MISSION_00_LEVEL_00_NAME29	mission	CRES.DLL	to2:4419	The password.	密码。		
2579	IDS_MISSION_00_LEVEL_00_NAME30	mission	CRES.DLL	to2:4420	Planting a bug.	安装窃听器。		
2580	IDS_MISSION_00_LEVEL_00_NAME31	mission	CRES.DLL	to2:4421	Wanted.	通缉。		
2581	IDS_MISSION_00_LEVEL_00_NAME32	mission	CRES.DLL	to2:4422	Evil Alliance.	邪恶联盟。		
2582	IDS_MISSION_00_LEVEL_00_NAME33	mission	CRES.DLL	to2:4423	The vault.	金库。		
2583	IDS_MISSION_00_LEVEL_00_NAME34	mission	CRES.DLL	to2:4424	Crossfire.	交叉火力。		
2584	IDS_MISSION_00_LEVEL_00_NAME35	mission	CRES.DLL	to2:4425	Invisible walls.	无形之墙。		
2585	IDS_MISSION_00_LEVEL_00_NAME36	mission	CRES.DLL	to2:4426	The getaway.	逃脱。		
2586	IDS_MISSION_00_LEVEL_00_NAME37	mission	CRES.DLL	to2:4427	Characters.	角色。		
2587	IDS_MISSION_00_LEVEL_00_NAME38	mission	CRES.DLL	to2:4428	Antarctica.	南极洲。		
2588	IDS_MISSION_00_LEVEL_00_NAME39	mission	CRES.DLL	to2:4429	Change of plans.	计划有变。		
2589	IDS_MISSION_00_LEVEL_00_NAME40	mission	CRES.DLL	to2:4430	Proving ground.	试验场。		
2590	IDS_MISSION_00_LEVEL_00_NAME41	mission	CRES.DLL	to2:4431	Kamal.	卡马尔。		
2591	IDS_MISSION_00_LEVEL_00_NAME42	mission	CRES.DLL	to2:4432	UNITY Headquarters.	UNITY总部。		
2592	IDS_MISSION_00_LEVEL_00_NAME43	mission	CRES.DLL	to2:211	UNITY Headquarters.	UNITY总部。		
2593	IDS_MISSION_00_LEVEL_00_NAME44	mission	CRES.DLL	to2:212	Submarine bay.	潜艇船坞。		
2594	IDS_MISSION_00_LEVEL_00_NAME45	mission	CRES.DLL	to2:213	Command deck.	指挥甲板。		
2595	IDS_MISSION_00_LEVEL_00_NAME46	mission	CRES.DLL	to2:214	Crew deck.	船员甲板。		
2596	IDS_MISSION_00_LEVEL_00_NAME47	mission	CRES.DLL	to2:215	Laboratories.	实验室。		
2597	IDS_MISSION_00_LEVEL_00_NAME48	mission	CRES.DLL	to2:216	Armstrong in peril.	阿姆斯特朗命悬一线。		
2598	IDS_MISSION_00_LEVEL_00_NAME49	mission	CRES.DLL	to2:217	The Devil and the deep blue sea.	进退两难。		
2599	IDS_MISSION_00_LEVEL_00_NAME50	mission	CRES.DLL	to2:218	Expect flooding.	小心进水。		
2700	IDS_MISSION_00_BRIEF	mission	CRES.DLL	to2:231	UNITY has sent Cate Archer to Japan to investigate a rumored international crime convention expected to take place in the pastoral village of Inotakimura. Her objective is to photograph the meeting's participants without arousing their suspicion.\n\nHer first task will be to locate agent Isamu Hatori, who will provide further information on her assignment. He's waiting somewhere in the village.	UNITY派凯特·阿彻前往日本，调查一场据传将在田园村庄稻泷村举行的国际犯罪大会。她的目标是在不引起与会者怀疑的情况下，拍下他们的照片。\n\n她的首要任务是找到特工羽鸟勇，他将提供这次任务的进一步情报。他正在村里的某处等候。	done	
