id	symbols	category	source	source_lines	english	zh	status	note
100		server_admin	CRES_modernizer.DLL		SCMD login successful.	SCMD登录成功。		SCMD/server admin text; low priority for single-player
101		server_admin	CRES_modernizer.DLL		Admin already logged into SCMD.	SCMD管理员已登录。		SCMD/server admin text; low priority for single-player
102		server_admin	CRES_modernizer.DLL		Incorrect SCMD password.	SCMD密码错误。		SCMD/server admin text; low priority for single-player
103		server_admin	CRES_modernizer.DLL		Logged out of SCMD.	已退出SCMD。		SCMD/server admin text; low priority for single-player
104		server_admin	CRES_modernizer.DLL		Not logged into SCMD.	尚未登录SCMD。		SCMD/server admin text; low priority for single-player
105		server_admin	CRES_modernizer.DLL		SCMD Commands:	SCMD命令：		SCMD/server admin text; low priority for single-player
106		server_admin	CRES_modernizer.DLL		HELP - List all available SCMD commands.	HELP - 列出所有可用的SCMD命令。		SCMD/server admin text; low priority for single-player
107		server_admin	CRES_modernizer.DLL		LOGOUT - Logs out as SCMD Administrator.	LOGOUT - 退出SCMD管理员账号。		SCMD/server admin text; low priority for single-player
108		server_admin	CRES_modernizer.DLL		LOGIN <password> - Logs in as SCMD Administrator.	LOGIN <password> - 以SCMD管理员身份登录。		SCMD/server admin text; low priority for single-player
109		server_admin	CRES_modernizer.DLL		Client List format: ClientId) [name][ping][IP]	客户端列表格式：ClientId) [name][ping][IP]		SCMD/server admin text; low priority for single-player
110		server_admin	CRES_modernizer.DLL		No clients.	没有客户端。		SCMD/server admin text; low priority for single-player
111		server_admin	CRES_modernizer.DLL		LISTCLIENTS - Displays list of clients.	LISTCLIENTS - 显示客户端列表。		SCMD/server admin text; low priority for single-player
113		server_admin	CRES_modernizer.DLL		NEXTMISSION - Go to next mission in mission list.	NEXTMISSION - 前往任务列表中的下一个任务。		SCMD/server admin text; low priority for single-player
114		server_admin	CRES_modernizer.DLL		NEXTROUND - Go to next round for this level.	NEXTROUND - 前往本关卡的下一回合。		SCMD/server admin text; low priority for single-player
115		server_admin	CRES_modernizer.DLL		SCMD Command failed.	SCMD命令执行失败。		SCMD/server admin text; low priority for single-player
116		server_admin	CRES_modernizer.DLL		BOOTNAME <playername> - Boots client by player name.	BOOTNAME <playername> - 按玩家名称踢出客户端。		SCMD/server admin text; low priority for single-player
117		server_admin	CRES_modernizer.DLL		BOOTID <clientid> - Boots client by client id.	BOOTID <clientid> - 按客户端ID踢出客户端。		SCMD/server admin text; low priority for single-player
118		server_admin	CRES_modernizer.DLL		Mission List format: mission_index) [mission][*]	任务列表格式：mission_index) [mission][*]		SCMD/server admin text; low priority for single-player
119		server_admin	CRES_modernizer.DLL		SCMD Command successful.	SCMD命令执行成功。		SCMD/server admin text; low priority for single-player
120		server_admin	CRES_modernizer.DLL		LISTMISSIONS - Lits all missions in current campaign.	LISTMISSIONS - 列出当前战役中的所有任务。		SCMD/server admin text; low priority for single-player
